Jogo,Ano,Genero,Estudio,America_do_Norte,Europa,Japao,Outros_paises,Global
Gundam Versus,2017,Action,Namco Bandai Games,0.080,0.000,0.180,0.020,0.280
NBA Live 14,2013,Sports,EA Sports,0.170,0.050,0.000,0.050,0.270
Bravo Team VR,2018,Shooter,Sony Interactive Entertainment,0.120,0.090,0.020,0.040,0.270
Killing Floor 2Ê,2016,Shooter,Tripwire Interactive,0.190,0.030,0.000,0.050,0.270
Robinson: The Journey,2016,Action-Adventure,Sony Interactive Entertainment,0.140,0.090,0.000,0.050,0.270
DriveClub VR,2016,Racing,Sony Interactive Entertainment,0.120,0.090,0.010,0.040,0.270
Fate/Extella: The Umbral Star,2016,Action,PQube,0.120,0.000,0.120,0.030,0.270
Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,0.190,0.000,0.020,0.040,0.260
New Danganronpa V3: Minna no Koroshiai Shin Gakki,2017,Adventure,NIS America,0.090,0.050,0.070,0.030,0.250
Samurai Warriors 4,2014,Fighting,Tecmo Koei,0.080,0.070,0.060,0.030,0.250
Darksiders III,2018,Action,THQ Nordic,0.130,0.070,0.000,0.040,0.250
NBA Live 15,2014,Sports,Electronic Arts,0.160,0.040,0.000,0.040,0.250
NBA Live 18,2017,Sports,EA Sports,0.200,0.000,0.000,0.050,0.240
Tearaway Unfolded,2015,Platform,Sony Computer Entertainment,0.070,0.130,0.000,0.040,0.240
.hack//G.U. Last Recode,2017,Role-Playing,Namco Bandai Games,0.100,0.040,0.080,0.030,0.240
Ride,2015,Racing,Milestone S.r.l.,0.040,0.130,0.030,0.030,0.240
Just Dance 2017,2016,Misc,Ubisoft,0.080,0.120,0.000,0.040,0.240
The Escapists 2,2017,Action,Sold Out,0.040,0.160,0.000,0.040,0.240
Transformers: Devastation,2015,Action,Activision,0.110,0.090,0.000,0.040,0.240
Darksiders II,2015,Action-Adventure,Nordic Games,0.100,0.100,0.000,0.040,0.240
Jikkyou Powerful Pro Baseball 2016,2016,Sports,Konami Digital Entertainment,0.000,0.000,0.240,0.000,0.240
The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,0.110,0.090,0.000,0.040,0.240
Digimon World: Next Order,2017,Role-Playing,Namco Bandai Games,0.130,0.050,0.020,0.040,0.240
theHunter: Call of the Wild,2017,Shooter,Astragon,0.190,0.000,0.000,0.040,0.240
Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.110,0.080,0.000,0.040,0.230
Angry Birds: Star Wars,2013,Puzzle,Activision,0.110,0.090,0.000,0.040,0.230
Elex,2017,Role-Playing,THQ Nordic,0.030,0.160,0.000,0.040,0.230
RIGS: Mechanized Combat League,2016,Action,Sony Interactive Entertainment,0.110,0.060,0.020,0.040,0.230
Transformer: Rise of the Dark Spark,2014,Shooter,Activision,0.080,0.110,0.010,0.040,0.230
Dead Island Definitive Collection,2016,Action,Deep Silver,0.090,0.080,0.030,0.030,0.230
Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.080,0.060,0.050,0.030,0.230
Singstar Celebration,2017,Music,Sony Interactive Entertainment,0.040,0.150,0.000,0.030,0.230
Dead by Daylight,2017,Action,505 Games,0.110,0.060,0.020,0.040,0.220
Attack on Titan 2,2018,Action,Koei Tecmo,0.090,0.040,0.060,0.030,0.220
The Wolf Among Us,2014,Adventure,Telltale Games,0.110,0.070,0.000,0.040,0.220
Micro Machines: World Series,2017,Racing,Codemasters,0.030,0.160,0.000,0.030,0.220
Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.110,0.040,0.030,0.030,0.220
Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.060,0.130,0.000,0.030,0.220
Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,0.090,0.090,0.000,0.040,0.220
EVE: Valkyrie,2016,Shooter,Sony Interactive Entertainment,0.110,0.060,0.000,0.040,0.210
Senran Kagura: Peach Beach Splash,2017,Action,PQube,0.090,0.020,0.080,0.020,0.210
Ys VIII: Lacrimosa of Dana,2017,Role-Playing,NIS America,0.080,0.040,0.080,0.020,0.210
Bound By Flame,2014,Action,Focus Home Interactive,0.080,0.090,0.000,0.040,0.210
NBA Live 16,2015,Sports,EA Sports,0.130,0.050,0.000,0.040,0.210
7 Days to Die,2016,Action,Telltale Games,0.090,0.080,0.000,0.030,0.210
Dynasty Warriors 8: Empires,2014,Misc,Tecmo Koei,0.070,0.070,0.040,0.030,0.210
Dragon's Dogma,2017,Role-Playing,Capcom,0.070,0.070,0.030,0.030,0.210
Godzilla (2015),2014,Action,Namco Bandai Games,0.110,0.030,0.030,0.030,0.200
Eagle Flight,2016,Adventure,Ubisoft,0.090,0.080,0.000,0.030,0.200
Agents of Mayhem,2017,Action,Deep Silver,0.080,0.080,0.000,0.030,0.200
MotoGP 14Ê,2014,Racing,Milestone S.r.l.,0.050,0.110,0.000,0.030,0.200
Elite: Dangerous,2017,Simulation,Frontier Developments,0.060,0.100,0.000,0.030,0.190
Singstar: Ultimate Party,2014,Music,Sony Computer Entertainment,0.000,0.160,0.000,0.030,0.190
Toukiden Kiwami,2015,Action,Tecmo Koei,0.060,0.070,0.030,0.030,0.190
Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.090,0.070,0.000,0.030,0.190
The Surge,2017,Action,Koch Media,0.070,0.080,0.010,0.030,0.190
MotoGP 15,2015,Racing,Milestone S.r.l.,0.000,0.130,0.040,0.020,0.180
Resident Evil: Revelations,2017,Action,Capcom,0.060,0.060,0.040,0.020,0.180
Senran Kagura: Estival Versus,2015,Action,Marvelous Interactive,0.080,0.000,0.090,0.020,0.180
Back to the Future: The Game,2015,Adventure,Telltale Games,0.100,0.050,0.000,0.030,0.180
The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.110,0.040,0.000,0.030,0.170
Resident Evil 6,2016,Shooter,Capcom,0.100,0.000,0.050,0.020,0.170
Final Fantasy XIV: Heavensward,2015,MMO,Square Enix,0.000,0.090,0.060,0.020,0.170
Final Fantasy XIV: Stormblood,2017,MMO,Square Enix,0.050,0.060,0.040,0.020,0.170
Guilty Gear Xrd: Sign,2014,Fighting,Arc System Works,0.110,0.000,0.040,0.020,0.170
Prototype: Biohazard Bundle,2016,Action,Activision,0.140,0.000,0.000,0.030,0.170
BlazBlue Central Fiction,2016,Fighting,PQube,0.100,0.000,0.050,0.020,0.170
MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.060,0.080,0.000,0.030,0.170
Ride 2,2016,Racing,Milestone S.r.l,0.070,0.060,0.010,0.030,0.160
Dead Rising 4,2017,Action-Adventure,Capcom,0.080,0.050,0.000,0.030,0.160
Putty Squad,2013,Platform,System 3,0.060,0.070,0.000,0.030,0.160
Digimon Story: Cyber Sleuth - Hacker's Memory,2017,Role-Playing,Namco Bandai Games,0.050,0.050,0.040,0.020,0.160
Battlezone,2016,Action,Sony Interactive Entertainment,0.090,0.040,0.000,0.030,0.160
Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,0.070,0.040,0.030,0.020,0.160
Berserk and the Band of the Hawk,2016,Action,Tecmo Koei,0.070,0.020,0.050,0.020,0.160
BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.080,0.040,0.020,0.020,0.160
Pillars of Eternity,2017,Role-Playing,Paradox InteractiveÊ,0.110,0.020,0.000,0.030,0.160
Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.040,0.030,0.070,0.020,0.160
Gravity Rush Remastered,2015,Action-Adventure,Sony Computer Entertainment,0.020,0.060,0.050,0.020,0.160
Psycho-Pass: Mandatory Happiness,2016,Visual Novel,NIS America,0.100,0.020,0.000,0.030,0.150
Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.040,0.090,0.000,0.020,0.150
Warriors Orochi 3,2014,Action,Tecmo Koei,0.040,0.050,0.040,0.020,0.150
Wasteland 2,2015,Role-Playing,Deep Silver,0.100,0.000,0.030,0.020,0.150
Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.040,0.030,0.070,0.010,0.150
NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.120,0.000,0.000,0.030,0.150
Yakuza: Ishin,2014,Adventure,Sega,0.000,0.000,0.150,0.000,0.150
Toukiden 2,2016,Action,Tecmo Koei,0.040,0.000,0.100,0.010,0.150
Song of the Deep,2016,Action,Insomniac Games,0.120,0.000,0.000,0.030,0.150
Super Robot Wars V,2017,Role-Playing,Namco Bandai Games,0.000,0.000,0.150,0.000,0.150
Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,2017,Role-Playing,Tecmo Koei,0.070,0.000,0.060,0.020,0.140
Yonmegami Online: Cyber Dimension Neptune,2017,Role-Playing,Idea Factory International,0.060,0.000,0.070,0.010,0.140
Grand Kingdom,2015,Role-Playing,NIS America,0.080,0.000,0.040,0.020,0.140
Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.030,0.040,0.060,0.010,0.140
Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0.000,0.120,0.000,0.020,0.140
Shovel Knight,2015,Platform,Yacht Club Games,0.080,0.040,0.000,0.020,0.140
Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.070,0.050,0.000,0.020,0.140
Guilty Gear Xrd -Revelator-,2016,Fighting,PQube,0.060,0.000,0.070,0.010,0.140
We Happy Few,2018,Action-Adventure,Gearbox Software,0.080,0.040,0.000,0.020,0.140
Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,0.110,0.000,0.000,0.030,0.140
The Crew: Wild Run,2015,Racing,Ubisoft,0.000,0.120,0.000,0.020,0.140
MXGP 2,2016,Racing,Milestone S.r.l.,0.050,0.060,0.000,0.020,0.140
MotoGP 17,2017,Racing,Koch Media,0.040,0.070,0.000,0.020,0.140
Fairy Fencer F: Advent Dark Force,2015,Role-Playing,Idea Factory International,0.060,0.000,0.060,0.010,0.140
Samurai Warriors 4-II,2015,Action,Tecmo Koei,0.040,0.020,0.070,0.010,0.130
The Golf Club,2014,Sports,Ravenscourt,0.090,0.020,0.000,0.020,0.130
Hatsune Miku: Project Diva X,2016,Music,Sega,0.080,0.000,0.040,0.020,0.130
NASCAR Heat 2,2017,Racing,505 Games,0.110,0.000,0.000,0.020,0.130
Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.050,0.060,0.000,0.020,0.130
Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.050,0.050,0.000,0.020,0.130
Golf Club 2,2017,Sports,Maximum Games,0.050,0.060,0.000,0.020,0.130
Akiba's Trip 2,2014,Action,Acquire,0.090,0.000,0.020,0.020,0.130
Rugby 15,2015,Sports,Bigben Interactive,0.050,0.060,0.000,0.020,0.130
Utawarerumono: Futari no Hakuoro,2016,Visual Novel,Atlus,0.050,0.000,0.070,0.010,0.130
The Legend of Heroes: Trails of Cold Steel III,2017,Role-Playing,Nihon Falcom Corporation,0.000,0.000,0.130,0.000,0.130
Utawarerumono: Itsuwari no Kamen,2015,Adventure,Deep Silver,0.050,0.000,0.070,0.010,0.130
The Inpatient,2018,Action,Sony Interactive Entertainment,0.060,0.050,0.000,0.020,0.130
Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0.010,0.090,0.000,0.020,0.130
Sword Art Online: Hollow Fragment,2015,Role-Playing,Namco Bandai Games,0.000,0.110,0.000,0.020,0.120
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.070,0.030,0.000,0.020,0.120
Job Simulator,2017,Simulation,Sony Interactive Entertainment,0.100,0.000,0.000,0.020,0.120
Portal Knights,2017,Role-Playing,505 Games,0.020,0.050,0.030,0.010,0.120
Samurai Warriors 4: Empires,2015,Action,Tecmo Koei,0.030,0.010,0.070,0.010,0.120
Danganronpa 1o2 Reload,2017,Adventure,NIS America,0.080,0.000,0.020,0.020,0.120
God Eater 2: Rage Burst,2015,Role-Playing,Namco Bandai Games,0.000,0.010,0.110,0.000,0.120
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.100,0.000,0.000,0.020,0.120
Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.060,0.040,0.000,0.020,0.120
Digimon Story: Cyber Sleuth,2016,Role-Playing,Namco Bandai Games,0.000,0.100,0.000,0.020,0.110
Constructor HD,2017,Strategy,System 3,0.090,0.000,0.000,0.020,0.110
Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,0.090,0.000,0.000,0.020,0.110
Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.070,0.020,0.000,0.020,0.110
Mighty No. 9,2016,Platform,Deep Silver,0.090,0.000,0.000,0.020,0.110
The Invisible Hours,2017,Adventure,GameTrust,0.090,0.000,0.000,0.020,0.110
Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.080,0.010,0.000,0.020,0.110
The Idolmaster: Platinum Stars,2016,Simulation,Namco Bandai Games,0.000,0.000,0.110,0.000,0.110
The Witch and the Hundred Knight,2015,Role-Playing,NIS America,0.030,0.010,0.060,0.010,0.110
SD Gundam G Generation Genesis,2016,Strategy,Namco Bandai Games,0.000,0.000,0.110,0.000,0.110
Rime,2017,Adventure,Grey Box,0.020,0.070,0.000,0.020,0.110
Super Robot Wars OG: The Moon Dwellers,2016,Misc,Namco Bandai Games,0.000,0.000,0.110,0.000,0.110
Gundam Breaker 3,2016,Action,Namco Bandai Games,0.000,0.000,0.110,0.000,0.110
Earth Defense Force 2025.1: The Shadow of New Despair,2015,Shooter,D3Publisher,0.000,0.000,0.110,0.000,0.110
Shadow Warrior (2013),2014,Shooter,Devolver Digital,0.000,0.090,0.000,0.020,0.110
Assassin's Creed Chronicles,2016,Action,Ubisoft,0.020,0.050,0.020,0.010,0.110
Mega Man Legacy Collection,2016,Platform,Capcom,0.090,0.000,0.000,0.020,0.110
Pac-Man Championship Edition 2 + Arcade Game Series,2017,Action,Namco Bandai Games,0.080,0.000,0.000,0.020,0.100
Tokyo Xanadu eX+,2016,Role-Playing,Nihon Falcom Corporation,0.050,0.000,0.050,0.010,0.100
Stardew Valley,2017,Simulation,505 Games,0.040,0.040,0.000,0.020,0.100
Romance of the Three Kingdoms 13,2015,Action,Tecmo Koei,0.030,0.000,0.060,0.010,0.100
Musou Stars,2017,Action,Tecmo Koei,0.030,0.000,0.060,0.010,0.100
Mega Man Legacy Collection 2,2017,Action,Capcom,0.060,0.000,0.020,0.010,0.100
Final Fantasy XIV Online Complete Edition,2017,MMO,Square Enix,0.070,0.000,0.020,0.020,0.100
Devil May Cry 4,2015,Action,Capcom,0.010,0.000,0.090,0.000,0.100
Puyo Puyo Tetris,2014,Puzzle,Sega,0.050,0.030,0.000,0.020,0.100
Natural Doctrine,2014,Role-Playing,NIS America,0.050,0.020,0.020,0.010,0.100
Sudden Strike 4,2017,Strategy,Kalypso Media,0.050,0.030,0.010,0.020,0.100
Accel World vs. Sword Art Online: Millennium Twilight,2017,Action,Namco Bandai Games,0.000,0.030,0.060,0.010,0.100
Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.080,0.000,0.000,0.020,0.100
Guilty Gear Xrd REV 2,2017,Fighting,PQube,0.040,0.010,0.030,0.010,0.100
Let's Sing 2016,2015,Music,Ravenscourt,0.080,0.000,0.000,0.020,0.100
Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.070,0.000,0.010,0.020,0.100
Nights of Azure 2,2017,Action,Tecmo Koei,0.040,0.000,0.040,0.010,0.090
The Technomancer,2016,Role-Playing,Focus Home Interactive,0.040,0.040,0.000,0.020,0.090
Nights of Azure,2015,Action,Tecmo Koei,0.040,0.040,0.000,0.020,0.090
Taiko no Tatsujin: Drum Session!,2017,Music,Namco Bandai Games,0.000,0.000,0.090,0.000,0.090
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016,Strategy,Tecmo Koei,0.030,0.000,0.060,0.010,0.090
Grand Ages: Medieval,2015,Strategy,Kalypso Media,0.000,0.050,0.030,0.010,0.090
Rugby League Live 4,2017,Sports,Tru Blu Entertainment,0.000,0.080,0.000,0.010,0.090
Toy Soldiers: War Chest,2015,Action,Ubisoft,0.070,0.000,0.000,0.020,0.090
God Eater Resurrection,2015,Action,Namco Bandai Games,0.000,0.000,0.090,0.000,0.090
Paragon,2016,Action,Sony Interactive Entertainment,0.070,0.000,0.000,0.020,0.090
Summon Night 6: Lost Borders,2016,Role-Playing,Gaijinworks,0.030,0.000,0.050,0.010,0.090
Black Rose Valkyrie,2016,Role-Playing,Idea Factory International,0.040,0.000,0.040,0.010,0.090
Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.070,0.000,0.000,0.020,0.090
ATV Drift & Tricks,2017,Racing,Funbox Media,0.070,0.000,0.000,0.020,0.090
Yoru no Nai Kuni,2015,Role-Playing,Tecmo Koei,0.000,0.000,0.090,0.000,0.090
Lara Croft and the Temple of Osiris,2014,Action,Square Enix,0.000,0.070,0.000,0.010,0.090
Ghostbusters (2016),2016,Action,Activision,0.070,0.000,0.000,0.020,0.080
Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.050,0.020,0.000,0.020,0.080
Shantae: Half-Genie Hero,2016,Platform,Xseed Games,0.060,0.000,0.010,0.010,0.080
Earth Defense Force 4.1: The Shadow of New Despair,2015,Shooter,PQube,0.050,0.020,0.000,0.010,0.080
The Sexy Brutale,2017,Adventure,Badland Studio,0.050,0.020,0.000,0.010,0.080
Legend of Kay,2015,Action,Nordic Games,0.030,0.030,0.000,0.010,0.080
Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.070,0.000,0.000,0.020,0.080
Loading Human,2016,Adventure,Maximum Games,0.050,0.020,0.000,0.010,0.080
Rapala Fishing Pro Series,2017,Simulation,GameMill,0.060,0.000,0.000,0.020,0.080
Atelier Firis: The Alchemist of the Mysterious Journey,2016,Role-Playing,Tecmo Koei,0.020,0.000,0.050,0.010,0.080
Dead Rising,2016,Action,Capcom,0.040,0.000,0.020,0.010,0.080
Assetto Corsa,2016,Racing,505 Games,0.000,0.060,0.010,0.010,0.080
Akiba's Beat,2016,Action,PQube,0.050,0.000,0.010,0.010,0.080
WRC 6,2016,Racing,PQube,0.030,0.020,0.010,0.010,0.080
God Wars: Future Past,2017,Role-Playing,NIS America,0.030,0.010,0.020,0.010,0.070
Resident Evil 5 HD,2016,Action,Capcom,0.050,0.000,0.010,0.010,0.070
The Witch and the Hundred Knights 2,2017,Role-Playing,Nippon Ichi Software,0.030,0.000,0.030,0.010,0.070
Samurai Warriors: Sanada Maru,2016,Action,Tecmo Koei,0.020,0.000,0.050,0.010,0.070
Project Setsuna,2016,Role-Playing,Square Enix,0.000,0.000,0.070,0.000,0.070
Has-Been Heroes,2017,Action,GameTrust,0.060,0.000,0.000,0.010,0.070
Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,2017,Misc,Square Enix,0.000,0.000,0.070,0.000,0.070
Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.060,0.000,0.000,0.010,0.070
Dead Rising 2,2016,Action,Capcom,0.040,0.000,0.020,0.010,0.070
The Book of Unwritten Tales 2,2015,Adventure,Nordic Games,0.000,0.060,0.000,0.010,0.070
Touhou Genso Rondo: Bullet Ballet,2016,Shooter,NIS America,0.060,0.000,0.000,0.010,0.070
The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.060,0.000,0.000,0.010,0.070
The Silver Case,2017,Visual Novel,NIS America,0.050,0.000,0.010,0.010,0.070
Hunting Simulator,2017,Shooter,Bigben Interactive,0.060,0.000,0.000,0.010,0.070
WRC 7,2017,Racing,Bigben Interactive,0.060,0.000,0.000,0.010,0.070
Kamen Rider: Battride War Genesis,2016,Action,Namco Bandai Games,0.000,0.000,0.070,0.000,0.070
Le Tour de France 2017,2017,Simulation,Focus Home Interactive,0.000,0.060,0.000,0.010,0.070
City Shrouded in Shadow,2017,Action-Adventure,Namco Bandai Games,0.000,0.000,0.070,0.000,0.070
SG/ZH: School Girl/Zombie Hunter,2017,Action,Aksys Games,0.040,0.000,0.020,0.010,0.070
Broken Sword 5: The Serpent's Curse,2015,Adventure,Revolution Software,0.000,0.060,0.000,0.010,0.070
Terraria,2014,Action,505 Games,0.000,0.050,0.010,0.010,0.070
Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.030,0.030,0.000,0.010,0.070
Batman: The Enemy Within,2017,Adventure,Telltale Games,0.050,0.000,0.000,0.010,0.070
Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.050,0.000,0.000,0.010,0.070
Legend of Kay Anniversary,2015,Action,Nordic Games,0.000,0.060,0.000,0.010,0.070
Steins;Gate 0,2015,Adventure,PQube,0.000,0.000,0.070,0.000,0.070
ZombiU,2016,Action,Ubisoft,0.000,0.040,0.010,0.010,0.070
Risen 3: Titan Lords,2015,Role-Playing,Deep Silver,0.000,0.060,0.000,0.010,0.070
Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.050,0.000,0.000,0.010,0.060
Dead or Alive Xtreme 3: Fortune,2016,Sports,Tecmo Koei,0.000,0.000,0.060,0.000,0.060
Birthdays the Beginning,2017,Misc,NIS America,0.050,0.000,0.000,0.010,0.060
Rugby 18,2017,Sports,Koch Media,0.050,0.000,0.000,0.010,0.060
The Binding of Isaac,2017,Misc,Nicalis,0.050,0.000,0.000,0.010,0.060
Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.050,0.000,0.000,0.010,0.060
Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,2017,Role-Playing,Tecmo Koei,0.030,0.000,0.030,0.010,0.060
MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0.000,0.050,0.000,0.010,0.060
MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.050,0.000,0.000,0.010,0.060
Sword Art Online: Game Director's Edition,2015,Role-Playing,Namco Bandai Games,0.000,0.000,0.060,0.000,0.060
Deformers,2017,Action,Ready at Dawn,0.050,0.000,0.000,0.010,0.060
Nobunaga no Yabou: Souzou,2014,Strategy,Tecmo Koei,0.000,0.000,0.060,0.000,0.060
Dragon Quest X: All in One Package,2017,Role-Playing,Square Enix,0.000,0.000,0.060,0.000,0.060
Yomawari: Midnight Shadows,2017,Action,NIS America,0.020,0.000,0.040,0.000,0.060
Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.050,0.000,0.000,0.010,0.060
Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.050,0.000,0.000,0.010,0.060
Outcast: Second Contact,2017,Adventure,Maximum Games,0.050,0.000,0.000,0.010,0.060
Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.050,0.000,0.000,0.010,0.060
Handball 16,2015,Sports,Bigben Interactive,0.000,0.050,0.000,0.010,0.060
Extinction,2018,Action,Maximum Games,0.050,0.000,0.000,0.010,0.060
Rugby World Cup 2015,2015,Sports,Big Ben Interactive,0.000,0.050,0.000,0.010,0.060
Exist Archive: The Other Side of the Sky,2015,Role-Playing,Aksys Games,0.020,0.000,0.030,0.000,0.060
King's Quest: The Complete Collection,2016,Adventure,Activision,0.050,0.000,0.000,0.010,0.060
Sine Mora,2017,Action,THQ Nordic,0.030,0.010,0.000,0.010,0.060
Aven Colony,2017,Strategy,Sold Out,0.040,0.010,0.000,0.010,0.060
Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.030,0.020,0.000,0.010,0.060
WRC 5: FIA World Rally Championship,2015,Racing,Bigben Interactive,0.000,0.050,0.000,0.010,0.060
Black Mirror,2017,Adventure,THQ Nordic,0.040,0.000,0.000,0.010,0.050
Touhou Genso Wanderer,2017,Action,NIS America,0.040,0.000,0.000,0.010,0.050
Arcania: Gothic 4,2015,Role-Playing,Nordic Games,0.040,0.000,0.000,0.010,0.050
Starblood Arena VR,2017,Shooter,Sony Interactive Entertainment,0.040,0.000,0.000,0.010,0.050
Hellblade,2018,Action-Adventure,505 Games,0.030,0.010,0.000,0.010,0.050
Bubsy: The Woolies Strike Back,2017,Platform,Accolade,0.040,0.000,0.000,0.010,0.050
Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting,Marvelous Interactive,0.010,0.010,0.030,0.000,0.050
Nobunaga's Ambition: Creation,2014,Strategy,Tecmo Koei,0.040,0.000,0.000,0.010,0.050
Child of Light,2014,Role-Playing,Ubisoft,0.000,0.010,0.040,0.000,0.050
Phantasy Star Online 2 Episode 4: Deluxe Package,2017,Role-Playing,Sega,0.000,0.000,0.050,0.000,0.050
Saints Row: Gat out of Hell,2015,Action,Deep Silver,0.000,0.040,0.000,0.010,0.050
Werewolves Within,2016,Misc,Ubisoft,0.040,0.000,0.000,0.010,0.050
Demon Gaze 2,2017,Role-Playing,NIS America,0.040,0.000,0.000,0.010,0.050
Real Farm,2017,Simulation,Soedesco,0.040,0.000,0.000,0.010,0.050
Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.020,0.020,0.000,0.010,0.050
Syberia III,2017,Adventure,Microids,0.040,0.000,0.000,0.010,0.050
Sengoku Basara: Sanada Yukimura-Den,2016,Action,Capcom,0.000,0.000,0.050,0.000,0.050
Sengoku Basara 4: Sumeragi,2015,Action,Capcom,0.000,0.000,0.050,0.000,0.050
Sbastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0.000,0.040,0.000,0.010,0.050
Don't Starve,2018,Adventure,505 Games,0.040,0.000,0.000,0.010,0.050
Monster Jam: Crush It,2016,Racing,GameMill,0.040,0.000,0.000,0.010,0.050
Prison Architect,2016,Simulation,Introversion Software,0.020,0.020,0.000,0.010,0.050
Assault Suit Leynos,2016,Shooter,Rising Star Games,0.040,0.000,0.000,0.010,0.050
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016,Adventure,NIS America,0.040,0.000,0.000,0.010,0.050
Overcooked,2016,Action,Sold Out,0.040,0.000,0.000,0.010,0.050
Ben 10 (2017),2017,Action,Outright Games,0.040,0.000,0.000,0.010,0.050
Dead Alliance,2017,Shooter,Maximum Games,0.040,0.000,0.000,0.010,0.040
Deer Hunter Reloaded,2017,Shooter,Maximum Games,0.040,0.000,0.000,0.010,0.040
That's You,2017,Party,Sony Interactive Entertainment,0.040,0.000,0.000,0.010,0.040
Raid: World War II,2017,Shooter,505 Games,0.040,0.000,0.000,0.010,0.040
Hyperdimension Neptunia Victory II,2015,Role-Playing,Idea Factory International,0.000,0.000,0.040,0.000,0.040
Zero Escape The Nonary Games,2017,Adventure,Aksys Games,0.030,0.000,0.010,0.010,0.040
Rugby Challenge 3,2016,Sports,Alternative Software,0.000,0.040,0.000,0.010,0.040
Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.030,0.010,0.000,0.010,0.040
INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.040,0.000,0.000,0.010,0.040
The Talos Principle,2015,Puzzle,Nighthawk Interactive,0.000,0.040,0.000,0.010,0.040
Megadimension Neptunia VIIR,2017,Role-Playing,Compile Heart,0.010,0.000,0.030,0.000,0.040
R.B.I. Baseball 2016,2016,Sports,MLB.com,0.040,0.000,0.000,0.010,0.040
Pure Farming 2018,2018,Simulation,Techland,0.020,0.010,0.000,0.010,0.040
Air Conflicts: Secret Wars,2016,Simulation,Nighthawk Interactive,0.030,0.000,0.000,0.010,0.040
Anima - Gate of Memories,2016,Action,Avanquest,0.010,0.020,0.000,0.010,0.040
Axiom Verge,2017,Action,Badland Studio,0.030,0.000,0.000,0.010,0.040
Unbox: Newbie's Adventure,2017,Action,Merge Games,0.030,0.000,0.000,0.010,0.040
